machine_id,location_id,store_name,month,game_type,location_type,distance_from_hq_miles,days_active,avg_bet,payout_rate,total_in,total_out,total_net,number_of_services,machine_swapouts,monthly_revenue
M0052,L008,Silver Creek Gaming,2026-05-01,Classic Reels,Bar,73.8,28,1.45,0.88,1659.08,1447.2,211.88,0,0,834.11
M0173,L038,Liberty Point Gaming,2026-04-01,A-Liner,Gaming Hall,67.7,29,2.67,0.909,2728.67,2468.96,259.71,2,0,494.35
M0167,L041,Palms Gaming Center,2025-05-01,A-Liner,Convenience Store,41.5,26,1.29,0.917,1200.0,1119.69,80.31,0,0,-168.31
M0090,L005,Gulf Coast Gaming,2025-09-01,Pot of Gold,Restaurant,76.4,20,2.08,0.878,2651.96,2274.29,377.67,1,0,-400.76
M0005,L022,Horizon Game Center,2026-01-01,Pot of Gold,Gaming Hall,17.5,28,2.31,0.92,5182.23,4693.39,488.84,0,0,1492.24
M0108,L038,Liberty Point Gaming,2025-12-01,Video Poker,Truck Stop,56.7,21,1.64,0.94,1378.23,1272.95,105.28,0,0,-489.93
M0100,L022,Horizon Game Center,2025-02-01,Classic Reels,Convenience Store,49.0,20,1.72,0.913,1200.0,1115.78,84.22,1,0,-631.51
M0027,L038,Liberty Point Gaming,2025-11-01,Video Poker,Gaming Hall,39.7,26,0.71,0.89,1200.0,1059.15,140.85,2,0,207.89
M0115,L043,Victory Lane Gaming,2025-01-01,Video Poker,Convenience Store,58.3,25,1.26,0.897,1200.0,1071.7,128.3,0,0,70.56
M0152,L022,Horizon Game Center,2025-03-01,Pot of Gold,Gaming Hall,21.8,23,2.15,0.869,2158.97,1834.31,324.66,1,0,-147.32
M0020,L003,Lone Star Game Center,2025-12-01,Classic Reels,Gaming Hall,69.5,31,1.68,0.907,2249.48,2033.2,216.28,1,0,237.37
M0131,L016,Red Oak Game Center,2025-02-01,Fire Link,Convenience Store,48.1,21,1.85,0.918,2535.22,2353.69,181.53,1,0,-396.47
M0026,L010,Bluebonnet Gaming,2025-07-01,Classic Reels,Gaming Hall,12.8,20,1.72,0.888,1746.48,1556.18,190.3,1,0,-160.93
M0135,L022,Horizon Game Center,2025-11-01,Pot of Gold,Gaming Hall,47.3,27,2.86,0.958,7621.35,7291.39,329.96,1,0,925.71
M0076,L027,Northgate Gaming Hall,2025-12-01,Life of Luxury,Restaurant,32.0,25,1.41,0.93,1200.0,1093.47,106.53,0,0,-584.0
M0002,L021,Cedar Grove Gaming,2025-09-01,Classic Reels,Gaming Hall,100.3,29,2.53,0.865,3319.85,2858.61,461.24,1,0,1319.9
M0174,L009,Pine Ridge Game Center,2025-02-01,Classic Reels,Restaurant,18.6,20,1.72,0.866,1200.0,1041.32,158.68,1,0,-650.0
M0030,L014,Clearwater Gaming Hall,2026-03-01,A-Liner,Restaurant,19.2,25,2.58,0.885,2130.32,1859.98,270.34,2,0,312.32
M0108,L031,Oak Ridge Gaming,2026-06-01,Life of Luxury,Gaming Hall,63.5,21,0.98,0.949,1200.0,1148.23,51.77,3,1,-900.0
M0033,L002,Cypress Point Gaming,2026-04-01,Life of Luxury,Bar,42.7,20,1.75,0.932,3020.98,2847.64,173.34,1,1,-900.0
M0168,L010,Bluebonnet Gaming,2026-02-01,Video Poker,Gaming Hall,41.2,25,1.43,0.951,2424.64,2290.45,134.19,0,0,-462.1
M0133,L041,Palms Gaming Center,2025-08-01,Fire Link,Convenience Store,180.0,28,1.73,0.91,3442.37,3162.54,279.83,0,0,133.39
M0145,L005,Gulf Coast Gaming,2026-04-01,Fire Link,Gaming Hall,75.2,21,2.32,0.905,2802.19,2532.29,269.9,2,2,-779.1
M0078,L019,Lakeview Game Center,2025-09-01,A-Liner,Truck Stop,37.4,30,1.86,0.879,1713.7,1529.93,183.77,0,0,631.14
M0085,L010,Bluebonnet Gaming,2025-03-01,Fire Link,Gaming Hall,11.3,26,2.32,0.919,2654.94,2504.7,150.24,0,0,206.06
M0115,L005,Gulf Coast Gaming,2026-04-01,A-Liner,Convenience Store,35.8,25,1.28,0.905,1312.51,1170.6,141.91,1,0,353.68
M0142,L020,Brazos Bend Gaming,2025-06-01,Fire Link,Gaming Hall,17.0,31,1.2,0.904,5604.72,5118.42,486.3,1,1,691.13
M0153,L024,Metro Star Gaming,2026-05-01,Classic Reels,Gaming Hall,23.0,23,1.66,0.95,2351.89,2271.13,80.76,0,0,-18.05
M0004,L008,Silver Creek Gaming,2025-07-01,Video Poker,Bar,23.7,22,1.63,0.907,1416.36,1268.14,148.22,2,0,866.83
M0120,L004,Katy Oaks Gaming,2026-04-01,Video Poker,Convenience Store,95.1,29,1.55,0.943,1564.96,1464.96,100.0,1,0,145.21
M0020,L007,Magnolia Gaming Hall,2025-10-01,A-Liner,Truck Stop,13.9,21,1.12,0.87,1200.0,1035.56,164.44,0,0,-530.01
M0052,L030,Crossroads Game Center,2025-09-01,Fire Link,Gaming Hall,88.9,30,2.31,0.97,11459.64,11097.59,362.05,0,0,946.4
M0150,L039,Crescent Bay Game Center,2025-06-01,Classic Reels,Gaming Hall,65.5,29,1.45,0.901,3687.3,3306.49,380.81,1,0,821.71
M0046,L009,Pine Ridge Game Center,2026-04-01,Classic Reels,Bar,64.9,31,2.43,0.928,3546.29,3282.52,263.77,0,0,835.48
M0144,L015,Prairie View Gaming,2025-02-01,A-Liner,Bar,22.2,25,1.66,0.932,1956.34,1842.98,113.36,2,0,-150.46
M0084,L016,Red Oak Game Center,2025-09-01,A-Liner,Truck Stop,81.1,27,2.01,0.898,2938.95,2572.32,366.63,0,0,1096.63
M0042,L017,Grand Parkway Gaming,2025-07-01,Classic Reels,Truck Stop,20.1,30,1.96,0.93,3241.64,2976.84,264.8,0,0,1236.45
M0061,L011,Sunset Bay Gaming,2025-10-01,A-Liner,Truck Stop,121.5,21,1.2,0.932,1200.0,1128.05,71.95,0,0,-558.97
M0096,L003,Lone Star Game Center,2025-05-01,Classic Reels,Gaming Hall,96.6,23,1.85,0.892,1527.0,1372.21,154.79,2,1,-900.0
M0138,L024,Metro Star Gaming,2025-12-01,Life of Luxury,Bar,135.2,25,2.71,0.892,5253.92,4619.76,634.16,1,0,506.89
M0110,L017,Grand Parkway Gaming,2025-07-01,Fire Link,Restaurant,49.2,27,1.79,0.911,2430.1,2230.14,199.96,0,0,46.83
M0168,L016,Red Oak Game Center,2025-04-01,A-Liner,Bar,42.7,28,2.15,0.907,4070.74,3756.98,313.76,0,0,856.92
M0157,L012,Riverstone Game Center,2025-04-01,Pot of Gold,Convenience Store,35.1,31,2.03,0.945,5469.15,5165.13,304.02,0,1,646.27
M0136,L042,Market Square Gaming,2026-01-01,Classic Reels,Gaming Hall,177.9,25,1.82,0.928,2936.33,2689.4,246.93,0,0,1073.32
M0109,L028,Southpoint Game Center,2025-05-01,A-Liner,Bar,73.0,22,1.75,0.908,2019.87,1855.25,164.62,0,0,369.37
M0053,L019,Lakeview Game Center,2025-06-01,Pot of Gold,Truck Stop,17.1,22,1.95,0.925,9464.23,8950.1,514.13,0,0,-239.78
M0075,L010,Bluebonnet Gaming,2025-12-01,Classic Reels,Gaming Hall,112.5,29,2.07,0.859,3385.31,2871.98,513.33,0,0,507.51
M0022,L037,Fairway Gaming Hall,2025-06-01,Classic Reels,Truck Stop,41.5,25,0.91,0.895,1200.0,1074.57,125.43,1,0,-893.24
M0068,L040,Eagle Ridge Gaming,2025-07-01,Classic Reels,Bar,3.2,27,1.79,0.917,1802.85,1676.8,126.05,0,0,-606.49
M0167,L002,Cypress Point Gaming,2025-05-01,Fire Link,Gaming Hall,26.4,26,1.55,0.938,5433.08,5103.75,329.33,0,0,487.57
M0077,L042,Market Square Gaming,2025-07-01,Classic Reels,Gaming Hall,96.5,29,1.43,0.915,1226.37,1096.41,129.96,1,0,-274.86
M0021,L032,Bay Area Game Center,2026-01-01,Fire Link,Gaming Hall,65.7,22,2.36,0.946,2598.87,2472.36,126.51,1,1,57.31
M0118,L005,Gulf Coast Gaming,2025-10-01,A-Liner,Bar,74.9,22,1.25,0.932,1990.03,1831.33,158.7,1,0,89.03
M0174,L034,Highland Park Gaming,2026-06-01,Pot of Gold,Gaming Hall,111.8,28,0.88,0.898,1413.83,1248.06,165.77,2,1,-362.33
M0157,L005,Gulf Coast Gaming,2026-02-01,A-Liner,Convenience Store,9.4,25,2.09,0.906,1823.4,1614.2,209.2,0,1,-314.02
M0050,L003,Lone Star Game Center,2025-01-01,Classic Reels,Truck Stop,26.7,29,0.87,0.92,1784.22,1666.97,117.25,1,0,932.37
M0082,L006,Westfield Game Center,2025-07-01,A-Liner,Bar,50.0,21,0.59,0.899,1200.0,1066.78,133.22,2,0,97.84
M0096,L021,Cedar Grove Gaming,2025-06-01,Fire Link,Gaming Hall,98.4,23,2.15,0.948,1819.19,1731.87,87.32,1,0,-712.7
M0045,L028,Southpoint Game Center,2025-11-01,Classic Reels,Bar,20.0,31,1.74,0.882,1249.69,1110.91,138.78,0,0,214.7
M0049,L019,Lakeview Game Center,2025-05-01,A-Liner,Restaurant,37.2,30,1.91,0.918,2919.76,2686.01,233.75,1,0,330.31
M0043,L006,Westfield Game Center,2026-06-01,Life of Luxury,Convenience Store,47.7,20,1.41,0.928,1276.23,1188.88,87.35,1,0,-435.44
M0180,L009,Pine Ridge Game Center,2025-06-01,Video Poker,Gaming Hall,25.6,29,0.89,0.902,1200.0,1087.89,112.11,0,0,256.07
M0135,L039,Crescent Bay Game Center,2025-10-01,Classic Reels,Convenience Store,47.3,20,1.0,0.897,1200.0,1078.39,121.61,0,0,-311.6
M0152,L044,Town Center Game Hall,2025-03-01,Video Poker,Bar,42.6,21,1.5,0.908,1301.16,1169.58,131.58,0,0,480.62
M0147,L034,Highland Park Gaming,2026-05-01,Video Poker,Bar,31.3,30,0.95,0.93,2137.47,1966.06,171.41,0,0,-2.56
M0173,L005,Gulf Coast Gaming,2026-05-01,Video Poker,Gaming Hall,81.0,21,1.82,,1517.27,1360.6,156.67,2,1,-900.0
M0019,L037,Fairway Gaming Hall,2026-03-01,Classic Reels,Truck Stop,71.4,23,1.4,0.883,1200.0,1057.78,142.22,1,0,-883.98
M0159,L032,Bay Area Game Center,2025-07-01,A-Liner,Gaming Hall,83.4,21,1.75,0.939,1213.8,1146.01,67.79,0,0,-764.07
M0012,L024,Metro Star Gaming,2025-02-01,Pot of Gold,Gaming Hall,88.4,27,1.74,0.92,2586.9,2414.15,172.75,2,0,-105.43
M0086,L007,Magnolia Gaming Hall,2026-01-01,Fire Link,Gaming Hall,130.4,20,1.86,0.935,2976.1,2794.94,181.16,2,1,-900.0
M0107,L045,Summit Point Gaming,2025-08-01,Classic Reels,Convenience Store,12.4,23,1.92,0.929,3756.36,3453.11,303.25,0,0,227.73
M0065,L020,Brazos Bend Gaming,2026-06-01,Fire Link,Bar,13.8,23,1.46,0.964,2081.66,1952.24,129.42,1,0,-111.1
M0027,L002,Cypress Point Gaming,2026-01-01,Video Poker,Gaming Hall,76.4,27,1.75,0.938,2625.65,2438.63,187.02,1,0,292.69
M0035,L010,Bluebonnet Gaming,2025-10-01,Pot of Gold,Bar,33.7,25,1.78,0.892,3393.75,2972.47,421.28,1,0,80.69
M0149,L019,Lakeview Game Center,2026-06-01,Fire Link,Convenience Store,30.4,22,0.31,0.922,1200.0,1095.88,104.12,1,0,-440.49
M0058,L003,Lone Star Game Center,2026-03-01,Fire Link,Gaming Hall,26.8,25,2.01,0.896,2711.62,2437.5,274.12,1,0,-18.56
M0056,L015,Prairie View Gaming,2025-09-01,Fire Link,Truck Stop,85.4,25,1.73,0.899,6956.18,6260.65,695.53,0,0,497.02
M0167,L022,Horizon Game Center,2025-01-01,Pot of Gold,Bar,170.7,24,1.96,0.875,2449.54,2197.97,251.57,2,0,-198.06
M0026,L043,Victory Lane Gaming,2025-02-01,Pot of Gold,Gaming Hall,88.1,26,0.94,0.903,1744.71,1585.59,159.12,0,0,-639.85
M0165,L004,Katy Oaks Gaming,2025-08-01,Classic Reels,Truck Stop,32.5,23,1.48,0.924,1923.25,1821.14,102.11,0,1,-344.42
M0166,L026,Stonebridge Gaming,2025-11-01,Fire Link,Restaurant,82.5,24,,0.908,1456.44,1334.95,121.49,2,0,-731.7
M0108,L042,Market Square Gaming,2025-01-01,Pot of Gold,Bar,13.4,29,2.06,0.883,6057.56,5427.75,629.81,0,0,864.92
M0030,L037,Fairway Gaming Hall,2025-03-01,Pot of Gold,Restaurant,40.3,23,0.88,0.872,1200.0,1041.23,158.77,1,0,-888.23
M0029,L042,Market Square Gaming,2026-01-01,Fire Link,Bar,9.4,23,1.14,0.963,2072.94,1969.51,103.43,0,0,-208.42
M0052,L008,Silver Creek Gaming,2026-02-01,Pot of Gold,Bar,33.7,21,1.94,0.918,2301.04,2099.96,201.08,1,0,-212.39
M0104,L037,Fairway Gaming Hall,2025-01-01,Classic Reels,Restaurant,54.0,28,1.3,0.889,2063.12,1833.82,229.3,1,1,125.54
M0028,L045,Summit Point Gaming,2025-10-01,Classic Reels,Restaurant,180.0,28,1.14,0.922,1200.0,1097.35,102.65,0,0,-450.8
M0083,L015,Prairie View Gaming,2025-02-01,Life of Luxury,Gaming Hall,103.7,28,2.15,0.965,3157.02,3008.6,148.42,1,0,337.35
M0021,L023,Willow Creek Gaming,2026-02-01,A-Liner,Convenience Store,9.6,22,2.17,0.926,2393.19,2228.06,165.13,1,0,180.0
M0098,L024,Metro Star Gaming,2026-04-01,Pot of Gold,Bar,10.6,25,2.05,0.84,3145.7,2604.44,541.26,3,0,-25.8
M0004,L023,Willow Creek Gaming,2026-04-01,Life of Luxury,Gaming Hall,25.7,23,2.12,0.97,2089.28,1988.15,101.13,2,0,-346.47
M0128,L014,Clearwater Gaming Hall,2025-11-01,Video Poker,Truck Stop,146.3,29,1.52,0.864,3862.8,3285.45,577.35,1,0,-293.89
M0010,L044,Town Center Game Hall,2025-12-01,Fire Link,Convenience Store,10.1,24,,0.905,2326.28,2098.74,227.54,2,0,-517.59
M0036,L044,Town Center Game Hall,2026-05-01,Video Poker,Convenience Store,27.0,24,1.29,0.882,1200.0,1044.13,155.87,1,0,-30.91
M0032,L018,Copper Creek Gaming,2025-12-01,Life of Luxury,Convenience Store,26.9,25,1.74,0.891,1439.92,1279.03,160.89,0,0,485.25
M0150,L037,Fairway Gaming Hall,2025-09-01,Life of Luxury,Convenience Store,63.4,29,1.36,0.917,1867.35,1725.81,141.54,1,0,7.54
M0010,L018,Copper Creek Gaming,2026-02-01,Fire Link,Gaming Hall,83.9,28,1.41,0.858,3628.19,3138.0,490.19,1,0,1649.83
M0078,L036,Greenfield Game Center,2025-11-01,Fire Link,Truck Stop,71.9,29,1.98,0.908,1729.25,1556.45,172.8,0,0,612.52
M0107,L027,Northgate Gaming Hall,2026-04-01,Video Poker,Convenience Store,57.3,25,2.3,0.939,2551.83,2356.24,195.59,1,0,-587.78
M0093,L022,Horizon Game Center,2025-10-01,Pot of Gold,Convenience Store,12.8,29,1.87,0.889,3074.33,2711.84,362.49,4,0,727.59
M0123,L006,Westfield Game Center,2026-04-01,Classic Reels,Bar,51.1,30,2.64,0.875,1212.48,1070.46,142.02,0,0,-17.11
M0145,L030,Crossroads Game Center,2025-01-01,Video Poker,Gaming Hall,113.9,26,1.26,0.907,2026.94,1860.06,166.88,1,0,80.64
M0071,L015,Prairie View Gaming,2025-01-01,A-Liner,Gaming Hall,139.3,28,0.64,0.902,1331.28,1206.45,124.83,1,0,-319.15
M0150,L010,Bluebonnet Gaming,2025-02-01,Life of Luxury,Bar,62.2,30,2.04,0.895,3908.76,3554.69,354.07,1,0,24.6
M0058,L009,Pine Ridge Game Center,2025-11-01,Fire Link,Gaming Hall,9.7,30,1.23,0.88,3604.54,3246.79,357.75,1,1,836.92
M0178,L045,Summit Point Gaming,2026-01-01,Life of Luxury,Convenience Store,63.0,23,1.5,0.923,1213.21,1112.76,100.45,2,0,-593.74
M0091,L005,Gulf Coast Gaming,2025-04-01,Classic Reels,Truck Stop,42.5,28,0.68,0.925,1200.0,1131.41,68.59,0,0,997.19
M0133,L036,Greenfield Game Center,2025-03-01,Fire Link,Bar,11.4,25,1.16,0.883,1200.0,1055.85,144.15,0,0,-271.57
M0158,L039,Crescent Bay Game Center,2026-04-01,Video Poker,Bar,18.9,21,0.82,0.887,1278.06,1149.28,128.78,1,0,-900.0
M0143,L002,Cypress Point Gaming,2026-02-01,A-Liner,Convenience Store,22.2,24,1.41,0.913,1675.36,1543.85,131.51,1,0,-383.61
M0154,L027,Northgate Gaming Hall,2025-12-01,Fire Link,Gaming Hall,76.6,31,1.43,0.886,5068.48,4370.43,698.05,0,0,2377.52
M0097,L026,Stonebridge Gaming,2025-09-01,Classic Reels,Truck Stop,135.5,31,1.7,0.914,1719.79,1551.95,167.84,2,1,294.66
M0008,L017,Grand Parkway Gaming,2025-08-01,Fire Link,Bar,68.7,29,2.33,0.947,5389.23,5024.62,364.61,0,0,881.78
M0089,L031,Oak Ridge Gaming,2025-01-01,Video Poker,Gaming Hall,78.3,31,2.02,0.909,1866.17,1656.44,209.73,0,0,895.68
M0033,L019,Lakeview Game Center,2025-04-01,Life of Luxury,Gaming Hall,44.7,26,0.76,0.88,1200.0,1068.66,131.34,2,0,-256.77
M0161,L020,Brazos Bend Gaming,2026-05-01,Video Poker,Truck Stop,30.0,29,1.98,0.92,2978.25,2813.93,164.32,1,0,1498.64
M0043,L020,Brazos Bend Gaming,2025-07-01,Classic Reels,Gaming Hall,70.0,21,1.71,0.906,2463.98,2224.75,239.23,0,0,-37.57
M0042,L037,Fairway Gaming Hall,2026-01-01,Video Poker,Convenience Store,57.9,23,1.6,0.906,2860.39,2620.83,239.56,0,0,53.73
M0045,L029,Meadowbrook Gaming,2026-01-01,Fire Link,Gaming Hall,24.0,22,1.64,0.922,2251.15,2115.67,135.48,2,0,36.0
M0116,L018,Copper Creek Gaming,2025-06-01,Classic Reels,Gaming Hall,55.1,31,1.76,0.927,1939.85,1803.09,136.76,0,0,95.21
M0103,L042,Market Square Gaming,2025-04-01,Life of Luxury,Truck Stop,47.0,27,1.27,0.911,1217.66,1108.92,108.74,1,1,-565.52
M0171,L037,Fairway Gaming Hall,2026-01-01,Classic Reels,Gaming Hall,37.0,31,1.55,0.908,1844.21,1669.11,175.1,0,0,590.46
M0075,L042,Market Square Gaming,2025-02-01,Pot of Gold,Gaming Hall,29.2,24,2.3,0.962,9250.99,8959.13,291.86,2,0,334.94
M0051,L033,Spring Creek Gaming,2025-09-01,Life of Luxury,Bar,62.2,24,1.26,0.94,2083.22,1980.09,103.13,1,0,-762.04
M0009,L018,Copper Creek Gaming,2026-04-01,Fire Link,Truck Stop,30.7,28,,0.931,2916.26,2731.2,185.06,1,0,296.69
M0002,L035,Woodland Star Gaming,2026-01-01,Life of Luxury,Bar,170.9,26,1.62,0.913,1890.9,1736.09,154.81,0,0,-126.65
M0068,L015,Prairie View Gaming,2026-02-01,Fire Link,Gaming Hall,67.1,24,1.03,0.885,1708.87,1511.3,197.57,0,0,-601.95
M0167,L013,Heritage Oaks Gaming,2025-02-01,Classic Reels,Truck Stop,62.9,23,0.7,0.938,1200.0,1102.66,97.34,0,1,-713.0
M0095,L021,Cedar Grove Gaming,2025-04-01,Life of Luxury,Convenience Store,41.2,26,1.46,0.914,1236.4,1143.39,93.01,0,0,313.76
M0161,L044,Town Center Game Hall,2025-05-01,Classic Reels,Truck Stop,34.5,20,2.45,0.896,1926.99,1696.88,230.11,3,0,-900.0
M0019,L026,Stonebridge Gaming,2025-06-01,Pot of Gold,Restaurant,7.5,22,1.63,0.904,1245.73,1135.4,110.33,0,0,403.8
M0017,L018,Copper Creek Gaming,2025-04-01,Classic Reels,Restaurant,25.4,20,1.75,0.886,1200.0,1074.08,125.92,1,1,-669.19
M0151,L021,Cedar Grove Gaming,2026-06-01,Classic Reels,Bar,9.5,21,0.48,0.936,1200.0,1106.78,93.22,0,0,-189.44
M0020,L014,Clearwater Gaming Hall,2025-03-01,Fire Link,Bar,9.4,22,1.89,0.927,1648.51,1516.15,132.36,0,0,-127.4
M0010,L030,Crossroads Game Center,2026-01-01,Classic Reels,Restaurant,16.4,20,1.7,0.915,1428.19,1343.15,85.04,0,0,-900.0
M0073,L016,Red Oak Game Center,2025-11-01,Video Poker,Restaurant,106.1,20,1.28,0.909,1200.0,1089.66,110.34,0,0,-836.39
M0167,L025,Parkside Game Center,2025-11-01,Classic Reels,Truck Stop,105.7,29,1.75,0.893,2094.33,1839.57,254.76,0,0,582.14
M0125,L017,Grand Parkway Gaming,2025-04-01,Fire Link,Convenience Store,25.9,22,1.74,0.857,1231.92,1067.59,164.33,1,0,-568.73
M0018,L015,Prairie View Gaming,2025-06-01,Fire Link,Gaming Hall,12.5,26,1.07,0.875,2013.39,1743.05,270.34,0,0,488.24
M0151,L044,Town Center Game Hall,2025-11-01,Classic Reels,Bar,33.3,21,1.83,0.891,1302.09,1130.15,171.94,1,1,-900.0
M0152,L016,Red Oak Game Center,2025-06-01,Life of Luxury,Convenience Store,76.0,31,2.31,0.888,2957.76,2644.94,312.82,0,0,938.19
M0145,L004,Katy Oaks Gaming,2026-01-01,Classic Reels,Bar,91.9,22,1.52,0.917,2257.34,2045.15,212.19,0,0,-23.2
M0163,L018,Copper Creek Gaming,2025-01-01,Life of Luxury,Restaurant,54.5,28,1.17,0.93,1200.0,1120.63,79.37,0,0,-415.17
M0044,L024,Metro Star Gaming,2025-02-01,Classic Reels,Convenience Store,61.7,27,1.55,0.907,3650.27,3275.2,375.07,0,0,434.19
M0177,L005,Gulf Coast Gaming,2026-02-01,Pot of Gold,Gaming Hall,57.5,29,2.12,0.945,3843.0,3664.25,178.75,1,0,-238.99
M0058,L014,Clearwater Gaming Hall,2025-12-01,Pot of Gold,Convenience Store,10.3,27,0.98,0.89,1352.53,1206.73,145.8,0,0,-462.74
M0145,L008,Silver Creek Gaming,2025-01-01,Video Poker,Convenience Store,13.8,26,1.97,0.907,1399.24,1225.64,173.6,3,1,-763.54
M0105,L023,Willow Creek Gaming,2026-05-01,Video Poker,Truck Stop,139.2,29,1.28,0.909,2980.47,2722.91,257.56,2,0,1331.32
M0141,L033,Spring Creek Gaming,2025-01-01,Video Poker,Bar,54.4,29,1.78,0.937,2269.38,2118.52,150.86,1,0,611.86
M0114,L044,Town Center Game Hall,2026-06-01,Video Poker,Convenience Store,5.5,24,1.34,0.913,1200.0,1116.0,84.0,3,1,-201.92
M0116,L018,Copper Creek Gaming,2026-02-01,Fire Link,Bar,64.3,31,1.34,0.913,1830.84,1680.24,150.6,1,0,792.68
M0111,L039,Crescent Bay Game Center,2026-06-01,Life of Luxury,Convenience Store,21.3,31,2.49,0.869,2784.26,2444.79,339.47,0,0,919.68
M0141,L010,Bluebonnet Gaming,2026-06-01,Pot of Gold,Gaming Hall,97.0,28,0.88,0.888,1902.15,1672.89,229.26,0,0,793.51
M0134,L036,Greenfield Game Center,2025-06-01,Fire Link,Truck Stop,90.1,31,1.92,0.937,3831.93,3554.19,277.74,2,0,181.43
M0025,L026,Stonebridge Gaming,2026-02-01,Life of Luxury,Truck Stop,73.1,21,2.6,0.858,2827.37,2425.01,402.36,2,0,-196.89
M0149,L035,Woodland Star Gaming,2025-04-01,Video Poker,Convenience Store,53.9,26,2.03,0.944,1467.71,1379.17,88.54,0,0,548.52
M0097,L034,Highland Park Gaming,2025-09-01,Pot of Gold,Convenience Store,113.0,27,0.92,0.922,1200.0,1125.67,74.33,0,0,369.76
M0059,L024,Metro Star Gaming,2025-05-01,Pot of Gold,Gaming Hall,120.6,31,0.95,0.891,1557.75,1385.09,172.66,1,0,987.02
M0093,L012,Riverstone Game Center,2025-09-01,Life of Luxury,Convenience Store,21.8,21,1.24,0.889,1284.94,1123.43,161.51,0,0,-207.43
M0175,L024,Metro Star Gaming,2026-04-01,Life of Luxury,Bar,72.6,29,1.74,0.957,3337.59,3160.93,176.66,0,0,1146.7
M0155,L038,Liberty Point Gaming,2025-08-01,Life of Luxury,Restaurant,29.4,20,1.77,0.945,2189.28,2094.22,95.06,1,1,-900.0
M0151,L044,Town Center Game Hall,2025-02-01,A-Liner,Gaming Hall,19.1,24,0.95,0.907,1255.67,1136.37,119.3,1,1,470.55
M0084,L042,Market Square Gaming,2025-06-01,Life of Luxury,Restaurant,120.6,28,1.17,0.913,1696.0,1543.96,152.04,2,1,-114.84
M0142,L009,Pine Ridge Game Center,2026-03-01,A-Liner,Gaming Hall,80.8,23,1.2,0.894,1414.71,1282.75,131.96,0,0,-317.64
M0070,L027,Northgate Gaming Hall,2025-10-01,Video Poker,Convenience Store,57.2,30,1.55,0.913,1200.0,1082.43,117.57,1,0,-171.11
M0124,L005,Gulf Coast Gaming,2025-11-01,A-Liner,Convenience Store,23.7,31,2.74,0.893,2832.51,2453.46,379.05,0,0,506.16
M0116,L031,Oak Ridge Gaming,2025-08-01,A-Liner,Gaming Hall,122.9,21,1.14,0.908,1200.0,1077.32,122.68,0,0,-832.33
M0045,L045,Summit Point Gaming,2025-06-01,Fire Link,Bar,21.0,23,1.11,0.955,1200.0,1149.49,50.51,0,0,-168.9
M0048,L003,Lone Star Game Center,2025-11-01,Pot of Gold,Restaurant,17.0,20,1.03,0.908,1200.0,1086.01,113.99,1,0,-900.0
M0012,L030,Crossroads Game Center,2025-12-01,Life of Luxury,Convenience Store,47.1,28,2.0,0.884,2402.73,2079.02,323.71,2,1,474.24
M0026,L043,Victory Lane Gaming,2026-05-01,Video Poker,Gaming Hall,76.0,30,1.63,0.876,1708.2,1517.21,190.99,2,0,382.85
M0079,L039,Crescent Bay Game Center,2025-12-01,A-Liner,Bar,36.0,27,1.16,0.913,1200.0,1097.95,102.05,0,0,251.94
M0087,L018,Copper Creek Gaming,2026-06-01,Life of Luxury,Bar,180.0,21,1.45,0.891,2947.56,2640.04,307.52,2,0,-900.0
M0030,L005,Gulf Coast Gaming,2026-03-01,Fire Link,Convenience Store,53.3,22,1.21,0.916,1200.0,1105.24,94.76,0,0,-593.96
M0076,L042,Market Square Gaming,2025-02-01,Classic Reels,Convenience Store,29.3,20,1.81,0.87,1200.0,1025.3,174.7,0,0,-900.0
M0109,L042,Market Square Gaming,2025-08-01,A-Liner,Gaming Hall,32.1,25,3.13,0.927,2611.53,2430.38,181.15,3,0,406.5
M0042,L027,Northgate Gaming Hall,2025-07-01,A-Liner,Convenience Store,149.5,28,1.95,0.883,1446.14,1292.69,153.45,0,0,-425.56
M0061,L045,Summit Point Gaming,2025-01-01,Video Poker,Restaurant,43.8,21,1.6,0.911,1263.58,1168.41,95.17,2,0,-900.0
M0067,L001,Bayou Star Gaming,2025-04-01,A-Liner,Restaurant,117.8,30,1.28,0.902,1200.0,1092.79,107.21,1,1,503.54
M0091,L028,Southpoint Game Center,2026-02-01,A-Liner,Gaming Hall,9.0,23,0.91,0.953,1476.26,1415.97,60.29,1,0,-88.71
M0066,L002,Cypress Point Gaming,2025-07-01,Life of Luxury,Bar,98.3,26,2.05,,4740.9,4234.34,506.56,1,0,331.76
M0133,L043,Victory Lane Gaming,2025-03-01,Pot of Gold,Bar,24.7,28,2.02,0.959,4274.25,4098.24,176.01,1,0,450.45
M0059,L031,Oak Ridge Gaming,2025-06-01,Video Poker,Gaming Hall,82.1,26,1.39,0.924,3192.93,2913.62,279.31,0,0,669.82
M0079,L042,Market Square Gaming,2025-05-01,A-Liner,Bar,24.5,25,2.32,0.946,1441.03,1385.39,55.64,0,0,47.85
M0069,L026,Stonebridge Gaming,2025-04-01,Fire Link,Gaming Hall,34.0,24,1.66,0.905,2482.54,2280.37,202.17,1,0,-672.85
M0033,L004,Katy Oaks Gaming,2025-02-01,A-Liner,Gaming Hall,18.6,25,2.08,0.919,3503.54,3179.79,323.75,1,0,472.97
